dt,x,z,vx,vz
1663708195.25, -5.74511241913, -6.16369485855, -3.45319728368e-09, -3.70479336098e-09,
0.008819, -5.7362742424, -6.26564836502, 1.00217449665, -11.5606651306,
0.009113, -5.6230173111, -6.48423147202, 12.428062439, -23.9858570099,
0.009006, -5.61782169342, -6.51127910614, 0.576906263828, -3.00329041481,
0.009252, -5.59835481644, -6.70441150665, 2.10407233238, -20.874666214,
0.008831, -5.59339761734, -6.96856927872, 0.561340630054, -29.9125556946,
0.009012, -5.64343309402, -7.35668802261, -5.55209493637, -43.0668830872,
0.009044, -5.67248249054, -7.68887233734, -3.21200752258, -36.729801178,
0.009268, -5.37949895859, -8.16725158691, 31.6123809814, -51.6162338257,
0.008848, -5.1238489151, -8.65124607086, 28.8935394287, -54.7010002136,
0.009049, -4.82305240631, -9.17444515228, 33.2408561707, -57.8184394836,
0.009122, -4.39179086685, -9.65966033936, 47.2770805359, -53.1917533875,
0.008925, -3.89540290833, -10.2157497406, 55.6176986694, -62.3069343567,
0.009018, -3.1608080864, -10.9327697754, 81.4587249756, -79.5098724365,
0.009094, -2.30149531364, -11.6725788116, 94.4922790527, -81.3513336182,
0.008996, -1.03416550159, -12.3824853897, 140.877044678, -78.9135818481,
0.009049, 0.344989180565, -13.3397789001, 152.409622192, -105.789978027,
0.00937, 2.14878749847, -14.2757854462, 192.507827759, -99.8939743042,
0.00891, 3.89797854424, -15.310051918, 196.317733765, -116.079284668,
0.008853, 5.57713651657, -16.8230361938, 189.671081543, -170.900756836,
0.008999, 7.19424581528, -18.1200313568, 179.698776245, -144.126586914,
0.009074, 8.89975643158, -19.3342952728, 187.955764771, -133.817932129,
0.009023, 10.7599191666, -20.8227539062, 206.157913208, -164.962722778,
0.009117, 13.058839798, -22.3390254974, 252.157577515, -166.312561035,
0.009126, 15.3611783981, -24.1553955078, 252.283432007, -199.032440186,
0.008844, 17.5307388306, -25.773267746, 245.314376831, -182.934432983,
0.009117, 20.1179866791, -27.6929664612, 283.782806396, -210.562545776,
0.009006, 22.4567470551, -29.9065055847, 259.689147949, -245.784927368,
0.008981, 24.8200149536, -32.342754364, 263.140838623, -271.266998291,
0.009438, 25.9885997772, -33.4652290344, 123.817001343, -118.931419373,
0.008704, 27.8117790222, -34.7598686218, 209.464523315, -148.740753174,
0.009868, 30.3260726929, -36.2019844055, 254.792633057, -146.140640259,
0.008146, 33.4683265686, -39.4531669617, 385.741943359, -399.113983154,
0.009059, 37.1595687866, -43.1346321106, 407.46685791, -406.38760376,
0.009065, 40.4857597351, -46.2851638794, 366.926727295, -347.54901123,
0.009199, 43.3656730652, -48.5471992493, 313.068084717, -245.900146484,
0.008909, 46.2895278931, -50.8575935364, 328.191131592, -259.332611084,
0.009065, 49.408241272, -53.8601379395, 344.038970947, -331.223846436,
0.008983, 52.6194000244, -56.9347229004, 357.47064209, -342.267059326,
0.008996, 55.7256889343, -59.5138587952, 345.296691895, -286.6980896,
0.009088, 58.5245933533, -61.6691093445, 307.978027344, -237.153442383,
0.009616, 61.2355232239, -63.6479949951, 281.918670654, -205.790939331,
0.008416, 63.7394332886, -65.2392120361, 297.517822266, -189.070465088,
0.009137, 67.0209732056, -67.8314819336, 359.148498535, -283.711273193,
0.009077, 69.5111312866, -69.8631820679, 274.337097168, -223.829467773,
0.008941, 71.9788589478, -71.6437149048, 276.001281738, -199.142471313,
0.009035, 74.4091186523, -73.2972488403, 268.982818604, -183.014282227,
0.009216, 76.1068344116, -74.291267395, 184.213943481, -107.857910156,
0.008838, 78.1476516724, -75.5014190674, 230.913925171, -136.925964355,
0.009263, 80.6081085205, -77.9792251587, 265.622009277, -267.4949646,
0.008985, 83.0860061646, -80.6081619263, 275.781616211, -292.59173584,
0.008907, 85.0720977783, -81.5371398926, 222.980987549, -104.297515869,
0.009224, 86.6407318115, -83.2718963623, 170.060058594, -188.069854736,
0.008882, 87.7170791626, -83.9792175293, 121.182991028, -79.635345459,
0.009048, 88.5997467041, -83.8483734131, 97.5538864136, 14.4611091614,
0.009238, 89.833984375, -84.7300415039, 133.604431152, -95.4392852783,
0.008819, 91.0456924438, -85.4056777954, 137.397445679, -76.6114425659,
0.008945, 91.9295654297, -85.6877365112, 98.811958313, -31.5325546265,
0.009118, 92.5945587158, -85.8552474976, 72.9319229126, -18.3714618683,
0.009247, 93.9222946167, -87.2584686279, 143.585586548, -151.748794556,
0.008796, 94.8864898682, -88.5817489624, 109.617469788, -150.441146851,
0.009069, 95.4891204834, -89.5135574341, 66.449508667, -102.746543884,
0.009196, 97.1827316284, -91.4023590088, 184.168243408, -205.393814087,
0.009011, 97.323425293, -91.2190856934, 15.6135454178, 20.338842392,
0.008975, 98.0120697021, -91.7441940308, 76.7291793823, -58.5078926086,
0.009033, 98.2474212646, -92.0938339233, 26.0546398163, -38.7069511414,
0.008973, 98.3122253418, -92.0429840088, 7.2221198082, 5.66699171066,
0.009115, 98.7850723267, -90.1017074585, 51.8756980896, 212.976028442,
0.009162, 98.6527328491, -90.1155395508, -14.4443864822, -1.50972402096,
0.008865, 98.6138763428, -90.0379714966, -4.38313674927, 8.74992179871,
0.009065, 99.396774292, -90.1250534058, 86.3649139404, -9.60638809204,
0.008975, 100.302215576, -90.0542449951, 100.884819031, 7.88951635361,
0.009078, 99.8284301758, -90.3305969238, -52.1905059814, -30.4419403076,
0.009173, 99.5196762085, -90.5810394287, -33.658996582, -27.3021373749,
0.009252, 100.304260254, -90.2272872925, 84.8015670776, 38.235206604,
0.008607, 99.3608779907, -90.3855667114, -109.606399536, -18.3896160126,
