dt,x,z,vx,vz
1663708291.0, -2.07528162003, -11.5149021149, -1.24738308571e-09, -6.92122670287e-09,
0.007682, -2.09134101868, -11.484292984, -2.09052324295, 3.9845263958,
0.008967, -2.09930205345, -11.4582090378, -0.887814760208, 2.90888214111,
0.009091, -2.10929441452, -11.4430837631, -1.09914875031, 1.6637635231,
0.008969, -2.12126278877, -11.4350633621, -1.33441579342, 0.89423584938,
0.009012, -2.11472129822, -11.5021886826, 0.725864470005, -7.44843816757,
0.009124, -2.10826683044, -11.5623493195, 0.707416474819, -6.59366941452,
0.009557, -2.12913203239, -11.6054611206, -2.18323755264, -4.51101827621,
0.008798, -2.15381336212, -11.7340106964, -2.80533409119, -14.6112260818,
0.008679, -2.18813300133, -11.8679561615, -3.95433115959, -15.4332838058,
0.009063, -2.24512624741, -12.0075511932, -6.2885632515, -15.4027404785,
0.009031, -2.23998236656, -12.311920166, 0.569580435753, -33.7026901245,
0.009096, -2.2729575634, -12.6921796799, -3.6252412796, -41.8051338196,
0.009028, -2.23978090286, -13.2506742477, 3.67486286163, -61.8624916077,
0.009291, -2.1871073246, -13.7909078598, 5.66931200027, -58.1459083557,
0.008766, -2.08042049408, -14.6958446503, 12.1705255508, -103.232574463,
0.009017, -1.97031617165, -16.0083580017, 12.2107486725, -145.559875488,
0.009205, -1.91787528992, -17.3638324738, 5.6970000267, -147.254165649,
0.008895, -1.8653832674, -18.526725769, 5.90129518509, -130.735610962,
0.009067, -1.88852715492, -19.7886276245, -2.55254077911, -139.175231934,
0.009037, -1.8207706213, -20.7433795929, 7.49767971039, -105.649215698,
0.009037, -1.82937443256, -21.9493808746, -0.952064990997, -133.451507568,
0.00903, -1.7182765007, -23.2227478027, 12.3032035828, -141.015151978,
0.008962, -1.69715631008, -25.078086853, 2.35663819313, -207.022888184,
0.009103, -2.23061704636, -27.9852390289, -58.6027374268, -319.361968994,
0.009177, -2.57691669464, -30.6439552307, -37.7356033325, -289.715179443,
0.0098, -2.83508968353, -33.4496383667, -26.3441829681, -286.294189453,
0.008151, -2.64829683304, -34.9428863525, 22.9165554047, -183.198120117,
0.009016, -2.67707943916, -36.8895225525, -3.19239211082, -215.909072876,
0.009114, -2.73834347725, -38.7738761902, -6.72197055817, -206.753738403,
0.008995, -2.88727378845, -41.3493881226, -16.5570106506, -286.327056885,
0.008993, -2.87783932686, -42.9295120239, 1.04908955097, -175.705993652,
