dt,x,z,vx,vz
1663708418.24, 4.9681892395, -15.1230659485, 2.98621394279e-09, -9.08997410676e-09,
0.009006, 4.95763158798, -15.1489858627, -1.172290802, -2.87807178497,
0.009246, 4.98802900314, -15.1867752075, 3.28762865067, -4.08710193634,
0.008839, 4.964407444, -15.2396812439, -2.67242431641, -5.98552274704,
0.009088, 4.93279314041, -15.2951488495, -3.47868657112, -6.10338973999,
0.009022, 4.89221286774, -15.3531303406, -4.49792432785, -6.42667818069,
0.009177, 4.78987979889, -15.5738229752, -11.1510372162, -24.04845047,
0.008852, 4.66233778, -15.8758134842, -14.4082708359, -34.1155090332,
0.009043, 4.58469724655, -16.0351333618, -8.58570575714, -17.6180343628,
0.009079, 4.50962686539, -16.0994930267, -8.26857376099, -7.08884954453,
0.00902, 4.43981361389, -16.1287117004, -7.73982858658, -3.23932099342,
0.010335, 4.35021495819, -16.1571006775, -8.6694393158, -2.74687719345,
0.007705, 4.27399635315, -16.1726856232, -9.89209651947, -2.02270531654,
0.00913, 4.01131868362, -16.1888065338, -28.7708282471, -1.76570761204,
0.00895, 3.82739281654, -16.2008514404, -20.5503768921, -1.34579968452,
0.009033, 3.50949072838, -16.2196369171, -35.1934127808, -2.07964968681,
0.009386, 3.11294937134, -16.2176628113, -42.24817276, 0.210324496031,
0.008723, 2.65439558029, -16.238368988, -52.568359375, -2.3737449646,
0.00925, 1.77171671391, -16.4077148438, -95.4247436523, -18.3076591492,
0.008931, 0.962572336197, -16.5638046265, -90.5995330811, -17.4773025513,
0.008992, -0.145221978426, -16.7336425781, -123.197769165, -18.8876743317,
0.00906, -1.16435074806, -16.7421035767, -112.486618042, -0.933885037899,
0.008928, -2.25431752205, -16.8072357178, -122.084091187, -7.29526662827,
0.009035, -3.39740180969, -16.7092533112, -126.517356873, 10.8447608948,
0.009068, -4.78679895401, -16.7416877747, -153.219802856, -3.57680439949,
0.009158, -5.78148365021, -17.3412570953, -108.613746643, -65.4694595337,
0.008997, -7.03515386581, -17.5013847351, -139.343139648, -17.7978935242,
0.009018, -8.25561714172, -17.8096904755, -135.336349487, -34.1878166199,
0.009013, -9.69042205811, -17.7367992401, -159.192825317, 8.08734416962,
0.009013, -11.0211496353, -17.4744987488, -147.645355225, 29.1024627686,
0.009047, -12.5936899185, -17.3448925018, -173.818984985, 14.325881958,
0.009047, -14.3097448349, -17.262758255, -189.6822052, 9.07861709595,
0.009187, -16.0950469971, -17.1772155762, -194.329177856, 9.3112745285,
0.008898, -17.9814586639, -17.0302791595, -212.003997803, 16.513420105,
0.009033, -19.9308547974, -16.9137516022, -215.808273315, 12.9002056122,
0.009065, -21.9527263641, -16.7752723694, -223.041534424, 15.2762527466,
0.00904, -23.9597663879, -16.5997657776, -222.017700195, 19.4144458771,
0.009054, -27.172082901, -16.8344459534, -354.795288086, -25.9200553894,
0.008998, -29.8537387848, -16.8624534607, -298.027984619, -3.112637043,
0.009085, -32.533618927, -16.8304042816, -294.97857666, 3.52770280838,
0.008977, -35.1313323975, -16.8256988525, -289.374359131, 0.524165034294,
0.009097, -37.3684539795, -16.7677021027, -245.918624878, 6.37537145615,
0.009234, -39.8323020935, -16.6274299622, -266.823486328, 15.1908321381,
0.00879, -42.2664337158, -16.6417922974, -276.920532227, -1.63394021988,
0.009046, -44.6313819885, -16.4732475281, -261.435791016, 18.6319656372,
0.009132, -46.8861198425, -16.2137546539, -246.905166626, 28.4157772064,
0.009537, -48.9783821106, -15.9283599854, -219.383682251, 29.924993515,
0.00846, -51.0651092529, -15.7773017883, -246.658050537, 17.8555793762,
0.009166, -53.6301803589, -15.5609741211, -279.846282959, 23.6010971069,
0.008914, -56.1385231018, -15.6832818985, -281.393615723, -13.7208633423,
0.009104, -58.4109954834, -15.6581277847, -249.612503052, 2.7629737854,
0.009187, -60.7204437256, -15.7648687363, -251.382202148, -11.6186952591,
0.0089, -62.925239563, -15.634095192, -247.729873657, 14.6936569214,
0.009019, -64.8256835938, -15.3077287674, -210.715591431, 36.1865386963,
0.009588, -66.6179962158, -15.1370477676, -186.932891846, 17.8015213013,
0.008608, -68.6462097168, -15.0696792603, -235.61958313, 7.82626676559,
0.008867, -70.2344589233, -14.7887678146, -179.119110107, 31.6805496216,
0.009229, -72.0238723755, -14.6293048859, -193.890289307, 17.2784633636,
0.009127, -74.0207290649, -14.5080480576, -218.785644531, 13.2855072021,
0.008745, -76.0111618042, -14.2745857239, -227.608093262, 26.6966648102,
0.009193, -78.1033630371, -14.0674009323, -227.586334229, 22.5372333527,
0.008987, -79.725189209, -13.8584127426, -180.463577271, 23.2544994354,
0.009017, -81.5721206665, -13.5675725937, -204.827713013, 32.2546463013,
0.00903, -83.3977203369, -13.3682432175, -202.170501709, 22.0741271973,
0.008976, -85.1871795654, -13.1016073227, -199.360427856, 29.7054233551,
0.009073, -87.2313461304, -12.9255094528, -225.302154541, 19.4090003967,
0.00901, -89.5317687988, -12.4861698151, -255.318832397, 48.7613334656,
0.009123, -90.7931976318, -12.5002117157, -138.269073486, -1.53917574883,
0.008914, -92.4049911499, -12.4797639847, -180.815963745, 2.29388952255,
0.009037, -93.9753341675, -12.5951566696, -173.768173218, -12.7689151764,
0.009139, -95.5001754761, -12.2800254822, -166.849899292, 34.4820175171,
0.009015, -97.0864486694, -11.6162014008, -175.95930481, 73.6355056763,
0.009466, -98.1592102051, -11.4236726761, -113.327865601, 20.338973999,
0.008641, -98.9230422974, -11.2378377914, -88.3962631226, 21.5061779022,
0.009289, -100.009513855, -11.0117998123, -116.963241577, 24.333940506,
0.009625, -101.583023071, -10.8933706284, -163.48147583, 12.3043308258,
0.008511, -103.025497437, -10.8658742905, -169.483535767, 3.23068237305,
0.008872, -104.280723572, -10.6476011276, -141.481765747, 24.60247612,
0.009006, -105.198890686, -10.6887149811, -101.95059967, -4.56516265869,
0.008787, -106.206008911, -10.2845029831, -114.614578247, 46.0011405945,
0.009202, -106.928108215, -10.147310257, -78.4720001221, 14.9090118408,
0.008891, -107.685165405, -10.1488046646, -85.1487045288, -0.168080940843,
0.00905, -108.459083557, -10.0113325119, -85.5158157349, 15.1902923584,
0.009243, -109.175445557, -9.822224617, -77.5031890869, 20.4595794678,
0.008837, -110.129547119, -9.71951961517, -107.966690063, 11.6221580505,
0.009092, -110.933555603, -9.57538795471, -88.4303207397, 15.8525800705,
0.009021, -111.448120117, -9.42880821228, -57.0407409668, 16.2487239838,
0.008998, -112.302848816, -9.21024513245, -94.9909667969, 24.290184021,
0.009247, -112.841262817, -9.01476669312, -58.2257995605, 21.1396598816,
0.008905, -113.432106018, -8.78248023987, -66.3496017456, 26.0849475861,
0.009005, -114.001716614, -8.52240562439, -63.2549247742, 28.8811340332,
0.008993, -114.509399414, -7.5155620575, -56.4531097412, 111.958587646,
0.009071, -115.677833557, -7.09907484055, -128.809844971, 45.9141464233,
0.009018, -116.151542664, -6.67014980316, -52.5292854309, 47.5632095337,
0.009048, -116.921951294, -6.39647436142, -85.1468429565, 30.2470645905,
0.009078, -117.359191895, -6.22499227524, -48.1648597717, 18.8898544312,
0.008998, -117.93094635, -5.85141944885, -63.5423927307, 41.5173187256,
0.009106, -118.267181396, -5.89782142639, -36.9245605469, -5.09575843811,
0.009167, -118.58921814, -5.89850759506, -35.1300048828, -0.0748520419002,
0.009021, -118.908683777, -5.92476987839, -35.4135513306, -2.91123867035,
0.008925, -119.125205994, -5.93955278397, -24.2601909637, -1.65634787083,
0.00906, -119.25592041, -5.95306253433, -14.4276399612, -1.49114239216,
