dt,x,z,vx,vz
1663708366.09, 2.36568522453, -15.2341165543, 1.42193501418e-09, -9.15672249135e-09,
0.009035, 2.24447774887, -15.20566082, -13.4153270721, 3.14950037003,
0.00917, 2.13352036476, -15.2636299133, -12.1000413895, -6.32160186768,
0.009053, 1.98682880402, -15.3180093765, -16.2036399841, -6.00678920746,
0.008974, 1.78893899918, -15.3915786743, -22.0514602661, -8.19804954529,
0.009363, 1.5068833828, -15.567109108, -30.1244907379, -18.7472419739,
0.008799, 1.20864653587, -15.7094020844, -33.894405365, -16.1714954376,
0.008881, 0.818468153477, -15.8222436905, -43.9340591431, -12.7059574127,
0.009129, 0.106180794537, -16.2057666779, -78.0246887207, -42.0115013123,
0.009439, -0.859576463699, -16.6595287323, -102.315635681, -48.0731086731,
0.008621, -1.94230985641, -17.1660118103, -125.592552185, -58.7499237061,
0.009018, -3.24686217308, -17.7422733307, -144.660934448, -63.9012527466,
0.008952, -4.86026668549, -18.6715736389, -180.228378296, -103.809234619,
0.009045, -6.57703876495, -19.6736392975, -189.803436279, -110.786689758,
0.00907, -8.1832780838, -20.5449771881, -177.093643188, -96.0681304932,
0.009041, -9.86707496643, -21.5522079468, -186.240112305, -111.40700531,
0.008982, -11.6586074829, -22.6163291931, -199.458084106, -118.472640991,
0.009167, -13.7555494308, -24.1982784271, -228.74899292, -172.570007324,
0.00894, -15.64955616, -25.3780708313, -211.857574463, -131.967834473,
0.00903, -17.5714988708, -26.7484111786, -212.83972168, -151.754180908,
0.009035, -19.7101421356, -28.2336807251, -236.706512451, -164.390655518,
0.009041, -21.9711151123, -30.2941665649, -250.079956055, -227.904632568,
0.009135, -24.959230423, -33.0200576782, -327.106201172, -298.400756836,
0.008993, -27.0055370331, -34.3196334839, -227.544387817, -144.50970459,
0.009036, -29.1791744232, -36.3118934631, -240.55305481, -220.480300903,
0.00898, -31.4414672852, -38.3093643188, -251.925704956, -222.435501099,
0.009152, -33.3219604492, -40.0878791809, -205.473464966, -194.330734253,
0.009367, -35.2197113037, -41.5818405151, -202.599639893, -159.491973877,
0.008809, -36.8806419373, -42.9310836792, -188.54927063, -153.166427612,
0.008849, -38.7351951599, -44.6707763672, -209.577728271, -196.597671509,
0.009118, -40.9840202332, -46.7878570557, -246.635787964, -232.186950684,
0.008942, -42.7072029114, -47.9822311401, -192.706634521, -133.569015503,
0.009044, -44.5660171509, -49.1847457886, -205.530105591, -132.962692261,
0.009198, -46.5966110229, -50.6386909485, -220.764724731, -158.071884155,
