dt,x,z,vx,vz
1663708657.42, -6.50754880905, -15.4651508331, -3.91147114698e-09, -9.2955882991e-09,
0.009057, -6.49274301529, -15.4962444305, 1.634734869, -3.43310117722,
0.009073, -6.47344732285, -15.532784462, 2.1267156601, -4.02733707428,
0.008955, -6.45092773438, -15.5749912262, 2.51475024223, -4.7132062912,
0.0093, -6.43241786957, -15.6194705963, 1.99030804634, -4.78272771835,
0.008819, -6.42418384552, -15.6614847183, 0.933668673038, -4.76404619217,
0.009073, -6.39029502869, -15.7047576904, 3.73512792587, -4.76942253113,
0.009097, -6.37977313995, -15.7317209244, 1.15663290024, -2.96396994591,
0.009, -6.35385894775, -15.7580060959, 2.87935471535, -2.92057466507,
0.009354, -6.32865905762, -15.7795257568, 2.69402289391, -2.30058383942,
0.00872, -6.24919223785, -15.8062973022, 9.11316680908, -3.07013130188,
0.008971, -6.09213256836, -15.8443412781, 17.5074863434, -4.24077320099,
0.009053, -5.9647231102, -15.8673582077, 14.0737276077, -2.54246425629,
0.008972, -5.7925992012, -15.8371629715, 19.1845626831, 3.36549663544,
0.009102, -5.57308483124, -15.7469844818, 24.1171588898, 9.90754699707,
0.009019, -5.29514503479, -15.6589689255, 30.8171405792, 9.75890350342,
0.009199, -5.03831768036, -15.5426836014, 27.919052124, 12.6410827637,
0.009037, -4.71063709259, -15.3506555557, 36.2598838806, 21.2490921021,
0.00895, -4.25543069839, -15.0386981964, 50.8610496521, 34.8555717468,
0.009155, -3.67290830612, -14.3625450134, 63.6288833618, 73.8561706543,
0.009035, -2.96898984909, -13.4473705292, 77.9101791382, 101.292144775,
0.008921, -2.14934968948, -12.3077821732, 91.8776092529, 127.742218018,
0.008989, -2.0885822773, -11.5689954758, 6.76019716263, 82.1878662109,
0.009158, -1.97297942638, -11.2854394913, 12.6231546402, 30.9626522064,
0.008996, -1.67354798317, -11.0344486237, 33.284954071, 27.9002761841,
0.009028, -1.56233859062, -10.6106987, 12.3182754517, 46.937297821,
0.009008, -1.29327261448, -10.2892541885, 29.8696689606, 35.684337616,
0.009098, -1.00336873531, -9.90271377563, 31.864572525, 42.4863052368,
0.009074, -0.598105013371, -9.398021698, 44.6620826721, 55.6195831299,
0.009007, 0.086032256484, -8.85683345795, 75.9561767578, 60.0852928162,
0.009177, 1.21131932735, -7.56665945053, 122.620361328, 140.587768555,
0.008856, 1.86641848087, -6.67641639709, 73.9723510742, 100.524276733,
0.008973, 2.80567932129, -5.78416538239, 104.676345825, 99.4373168945,
0.009081, 3.81333017349, -5.08508300781, 110.962539673, 76.9829711914,
0.009011, 4.88059234619, -4.38971376419, 118.439918518, 77.1689300537,
0.009223, 5.93622970581, -3.88181185722, 114.457046509, 55.0690536499,
0.009128, 6.82138967514, -3.47688102722, 96.9719543457, 44.3613967896,
0.008769, 7.80986118317, -2.67126607895, 112.723403931, 91.8707885742,
0.009055, 9.48866081238, -1.46205592155, 185.400299072, 133.540603638,
0.009029, 11.2921361923, -0.029964029789, 199.742538452, 158.610244751,
0.009087, 12.542766571, 1.31332778931, 137.62852478, 147.825653076,
0.008993, 13.8611860275, 2.34193825722, 146.60508728, 114.379013062,
0.009325, 15.0605258942, 3.10020470619, 128.615524292, 81.3154296875,
0.008828, 16.4564495087, 4.75044679642, 158.124557495, 186.932723999,
0.008964, 17.7166347504, 5.57001543045, 140.58291626, 91.428894043,
0.009022, 18.8216819763, 5.76722669601, 122.48361969, 21.8589286804,
0.00913, 22.6008052826, 3.10682797432, 413.923675537, -291.390869141,
