dt,x,z,vx,vz
1663708545.09, -1.0359377861, -16.8473587036, -6.22667806205e-10, -1.01263886165e-08,
0.008991, -1.03888034821, -16.861328125, -0.327278614044, -1.55371165276,
0.009048, -1.04327070713, -16.8810558319, -0.485229760408, -2.18033885956,
0.009052, -1.04630529881, -16.9034004211, -0.33523991704, -2.46846985817,
0.009087, -1.04796028137, -16.9242591858, -0.182126402855, -2.29545116425,
0.008965, -1.04960334301, -16.9377231598, -0.183275148273, -1.5018376112,
0.009918, -1.03892946243, -16.9442653656, 1.0762130022, -0.659629583359,
0.008097, -1.03710484505, -16.9492702484, 0.225344851613, -0.618115663528,
0.009206, -1.03642249107, -16.9593849182, 0.0741205736995, -1.09870409966,
0.0089, -1.03525042534, -16.9679927826, 0.131692782044, -0.967175781727,
0.00904, -1.03595983982, -16.9732017517, -0.0784750506282, -0.576213419437,
0.009152, -1.03458201885, -16.9757003784, 0.150548622012, -0.27301427722,
0.008891, -1.03083944321, -16.9797477722, 0.420939773321, -0.455223679543,
0.009029, -1.02005243301, -16.9661846161, 1.19470703602, 1.50217700005,
0.009092, -1.0107114315, -16.9546585083, 1.02738690376, 1.26771974564,
0.009045, -1.00749564171, -16.9162120819, 0.355532318354, 4.25057220459,
0.009059, -1.01102507114, -16.8182048798, -0.389604747295, 10.8187665939,
0.009137, -1.00809311867, -16.6574745178, 0.320887863636, 17.5911521912,
0.008971, -0.986080944538, -16.44024086, 2.45370340347, 24.2150993347,
0.009084, -0.970540106297, -16.0222873688, 1.71079230309, 46.0098495483,
0.008895, -0.936050474644, -15.5929136276, 3.87741756439, 48.27135849,
0.009085, -0.918030977249, -15.1998338699, 1.98343408108, 43.2668991089,
0.009024, -0.808783113956, -14.7047939301, 12.1063680649, 54.8581504822,
0.009014, -0.688367486, -14.2746076584, 13.3587341309, 47.7242355347,
0.009067, -0.594081580639, -13.8714590073, 10.3987989426, 44.4632911682,
0.00912, -0.525208473206, -13.5127153397, 7.55187606812, 39.3359298706,
0.008936, -0.366399288177, -13.0618515015, 17.7718429565, 50.4547729492,
0.009041, -0.0266356468201, -12.0955896378, 37.5803146362, 106.875549316,
0.009009, 0.344503492117, -11.1400489807, 41.1964874268, 106.065116882,
0.00906, 0.90918970108, -10.3215322495, 62.3273925781, 90.3440093994,
0.009409, 1.30165779591, -9.01263809204, 41.7119865417, 139.110870361,
0.008662, 2.03467106819, -7.42744350433, 84.6240158081, 183.005599976,
0.00912, 2.67657208443, -5.82203912735, 70.3838882446, 176.031188965,
0.009006, 3.15788841248, -4.76627349854, 53.4439620972, 117.229141235,
0.009004, 3.6088385582, -3.8416929245, 50.0833129883, 102.685539246,
0.009013, 4.08499956131, -2.97846627235, 52.8304672241, 95.7757339478,
0.009052, 4.89527130127, -2.42019534111, 89.5130081177, 61.6737670898,
