dt,x,z,vx,vz
1663708491.37, 2.49836754799, -22.7539997101, 1.50168588675e-09, -1.36766740155e-08,
0.009096, 2.5120639801, -22.778924942, 1.50576424599, -2.7402408123,
0.009074, 2.47934913635, -22.7407817841, -3.60533881187, 4.20356607437,
0.00902, 2.44686365128, -22.7139854431, -3.60149502754, 2.97076964378,
0.008916, 2.40825915337, -22.6960945129, -4.32980012894, 2.00660943985,
0.009062, 2.13933587074, -22.659986496, -29.6759319305, 3.98455286026,
0.009117, 2.07967329025, -22.6760616302, -6.54410219193, -1.76320445538,
0.009337, 1.98148787022, -22.7298145294, -10.5157356262, -5.75697755814,
0.008625, 2.0196185112, -22.789478302, 4.42094421387, -6.91753911972,
0.009049, 2.05349349976, -22.8446750641, 3.74350619316, -6.0997633934,
0.009181, 2.00230884552, -22.8804912567, -5.57506275177, -3.90112090111,
0.008933, 1.88244891167, -22.8965358734, -13.4176568985, -1.79610610008,
0.009975, 1.83457946777, -23.0226612091, -4.79894161224, -12.6441431046,
0.008138, 1.8200480938, -23.1277141571, -1.78561985493, -12.9089393616,
0.008961, 1.88699030876, -23.1329078674, 7.47039604187, -0.579590499401,
0.00907, 1.88397943974, -23.0524902344, -0.331959098577, 8.86633205414,
0.009103, 1.83197522163, -22.9997730255, -5.71286582947, 5.79119062424,
0.008994, 1.78606402874, -22.9762210846, -5.10464668274, 2.61862802505,
0.009046, 1.50009143353, -23.207321167, -31.6131534576, -25.5472106934,
0.010569, 1.35388803482, -23.2895069122, -13.8332300186, -7.77611398697,
0.007467, 1.24776303768, -23.666683197, -14.2125349045, -50.5124282837,
0.009138, 0.981643974781, -23.9312801361, -29.1222438812, -28.9556732178,
0.009043, 0.770802557468, -23.8114624023, -23.3154296875, 13.2497777939,
0.009153, 0.634206116199, -23.4978122711, -14.9236793518, 34.2674674988,
0.008799, 0.44909709692, -23.2447071075, -21.0375080109, 28.7652206421,
0.009163, 0.173387214541, -22.8818264008, -30.0894775391, 39.6028289795,
0.009344, -0.111107513309, -22.4691829681, -30.4467811584, 44.1613235474,
0.008636, -0.581505119801, -22.0166778564, -54.4693870544, 52.3975372314,
0.009045, -1.09043228626, -21.4833679199, -56.2661323547, 58.9618492126,
0.009296, -1.72840213776, -20.9301166534, -68.6284255981, 59.5149803162,
0.00884, -2.44151520729, -20.3401260376, -80.6688995361, 66.7410202026,
0.009012, -3.29976654053, -19.7880897522, -95.2342834473, 61.2556915283,
0.009019, -4.37527036667, -19.1730079651, -119.248672485, 68.1984405518,
0.009232, -5.67014503479, -18.5873851776, -140.259384155, 63.434009552,
0.008954, -6.7975525856, -18.0453281403, -125.911056519, 60.537979126,
0.008942, -8.13132858276, -17.2777004242, -149.158584595, 85.845199585,
0.009041, -9.52614116669, -16.0681781769, -154.276351929, 133.781906128,
0.009036, -10.9224405289, -14.68176651, -154.526275635, 153.432022095,
0.00914, -12.6756744385, -13.0229043961, -191.819900513, 181.494766235,
0.008906, -14.1615209579, -11.4630413055, -166.83656311, 175.14743042,
0.009061, -15.7160682678, -9.83895492554, -171.564651489, 179.239196777,
0.00898, -17.6907501221, -8.35959434509, -219.897750854, 164.739471436,
0.009055, -19.3798179626, -7.05778169632, -186.53427124, 143.767272949,
0.009051, -21.1839809418, -5.4874548912, -199.333007812, 173.49760437,
0.009048, -23.1096668243, -3.87899065018, -212.830001831, 177.770141602,
0.009821, -25.0041542053, -2.30702924728, -192.901687622, 160.061248779,
0.008203, -26.4429302216, -1.27982521057, -175.396316528, 125.222976685,
0.009073, -28.3340873718, 0.411005526781, -208.437896729, 186.35848999,
0.009134, -30.255531311, 1.7117484808, -210.361709595, 142.406723022,
0.008916, -32.0037231445, 3.38304567337, -196.073562622, 187.44921875,
0.009066, -33.8719940186, 5.15599918365, -206.074447632, 195.56072998,
0.00915, -35.6640892029, 6.78020429611, -195.857391357, 177.508743286,
0.009103, -37.3920860291, 8.12990379333, -189.827178955, 148.269744873,
0.008858, -38.9128646851, 9.75352859497, -171.684204102, 183.29473877,
0.009018, -40.3821258545, 10.9577970505, -162.925384521, 133.540527344,
0.009056, -41.8478927612, 12.3700647354, -161.855880737, 155.948287964,
0.009019, -43.6029205322, 13.6630382538, -194.592269897, 143.361068726,
0.009997, -45.3455963135, 15.3378925323, -174.319869995, 167.535690308,
0.008089, -46.7757110596, 16.9329490662, -176.797470093, 197.188339233,
0.00907, -48.3077545166, 18.4574146271, -168.913284302, 168.077789307,
0.009189, -49.7361907959, 19.880487442, -155.450668335, 154.866989136,
0.008891, -51.2533874512, 21.2315883636, -170.644088745, 151.962753296,
0.009066, -52.8103790283, 22.2223930359, -171.739639282, 109.287963867,
0.009074, -54.3251190186, 24.1781597137, -166.931900024, 215.535232544,
0.008962, -55.9270362854, 26.1107177734, -178.745513916, 215.639160156,
0.009016, -57.577167511, 27.7822208405, -183.02255249, 185.392974854,
0.009055, -59.1796646118, 29.1982288361, -176.973724365, 156.378585815,
0.009062, -60.9122810364, 30.7195091248, -191.19581604, 167.874679565,
0.009205, -62.5618438721, 32.3335075378, -179.202926636, 175.339324951,
0.008886, -64.4460678101, 33.6398048401, -212.0440979, 147.006225586,
0.008959, -66.857635498, 35.1851272583, -269.178222656, 172.488265991,
0.027135, -70.7747116089, 39.2557983398, -144.355117798, 150.015518188,
0.009069, -71.9239578247, 39.9151039124, -126.722480774, 72.6988143921,
0.009058, -73.2138977051, 41.3832931519, -142.408920288, 162.087585449,
0.008955, -75.1974868774, 42.4224205017, -221.506332397, 116.038787842,
0.00909, -76.0437316895, 43.6976318359, -93.0962371826, 140.287277222,
0.009285, -76.7651824951, 44.6122169495, -77.7006759644, 98.5013580322,
0.008843, -77.2881240845, 45.4181480408, -59.1362190247, 91.1377487183,
0.009058, -77.8708648682, 46.0925598145, -64.3343811035, 74.454826355,
0.009101, -83.2769012451, 45.1328239441, -594.004699707, -105.453895569,
0.009036, -84.432800293, 44.9093780518, -127.921539307, -24.7284088135,
0.00915, -83.4531478882, 45.1126747131, 107.065834045, 22.218214035,
0.008824, -82.2149810791, 45.4610710144, 140.318084717, 39.4828071594,
0.009101, -81.4441452026, 45.6943817139, 84.6979370117, 25.635723114,
0.009162, -81.2202224731, 46.1096725464, 24.4403762817, 45.3275299072,
0.00903, -80.759513855, 46.0892753601, 51.0197792053, -2.25882458687,
0.008986, -80.3690185547, 46.0930328369, 43.4559631348, 0.418147861958,
0.008968, -80.0093994141, 45.8640327454, 40.1002578735, -25.5352458954,
0.009152, -79.087020874, 45.3202972412, 100.784370422, -59.4116592407,
0.009096, -77.9718933105, 44.6829833984, 122.595375061, -70.065284729,
0.008902, -77.5006484985, 44.281879425, 52.936958313, -45.0577354431,
0.009073, -76.9295501709, 43.598285675, 62.9448127747, -75.3437347412,
0.009231, -75.9570465088, 42.5063552856, 105.351928711, -118.289497375,
0.00876, -74.97706604, 41.6354522705, 111.869918823, -99.4181594849,
0.009001, -74.0699005127, 40.9487838745, 100.784973145, -76.2880096436,
0.009272, -73.1330413818, 40.1644134521, 101.041755676, -84.5956039429,
0.00886, -72.2248458862, 39.2908782959, 102.505126953, -98.593132019,
0.009047, -71.1608886719, 38.3129501343, 117.603317261, -108.094192505,
