dt,x,z,vx,vz
1663707591.5, -7.45289087296, -13.8951864243, -4.47968773187e-09, -8.35193958437e-09,
0.0091, -7.46725606918, -13.687997818, -1.57859289646, 22.7679786682,
0.008956, -7.48589420319, -13.5245628357, -2.0810778141, 18.2486572266,
0.009696, -7.52843379974, -13.3469238281, -4.38733434677, 18.320854187,
0.008654, -7.51693630219, -13.2093601227, 1.32857608795, 15.8959674835,
0.008796, -7.39356517792, -13.1392774582, 14.0258216858, 7.96756076813,
0.008989, -7.19213819504, -13.1446304321, 22.408164978, -0.595502734184,
0.009091, -6.99677753448, -13.1849994659, 21.4894580841, -4.44054937363,
0.009156, -6.8444237709, -13.1854190826, 16.6397743225, -0.0458296984434,
0.009154, -6.72895431519, -13.1675643921, 12.6140975952, 1.95047950745,
0.008968, -6.63998746872, -13.1538200378, 9.92047786713, 1.53259968758,
0.008843, -6.57447052002, -13.1164932251, 7.4089050293, 4.22105741501,
0.009086, -6.46423625946, -13.0788373947, 12.1323204041, 4.14437961578,
0.009052, -6.36989068985, -13.0190963745, 10.422621727, 6.59975910187,
0.009181, -6.2805480957, -12.9925470352, 9.73124790192, 2.89176988602,
0.008906, -6.14945602417, -12.933380127, 14.7195224762, 6.64348840714,
0.008997, -5.88944959641, -12.8381757736, 28.8992366791, 10.5817890167,
0.009147, -5.60770559311, -12.7912492752, 30.8017940521, 5.1302614212,
0.008962, -4.97200679779, -12.9911708832, 70.9326934814, -22.3077011108,
0.010943, -4.03919124603, -13.3015489578, 85.2431259155, -28.363161087,
0.007179, -3.23061227798, -13.4207496643, 112.631141663, -16.6040821075,
0.009113, -1.80691111088, -15.0343122482, 156.227493286, -177.061630249,
0.008911, -0.392927139997, -15.569270134, 158.678482056, -60.0334320068,
0.009054, 0.754354000092, -15.9998159409, 126.715400696, -47.5531082153,
0.008941, 1.80637311935, -16.4279556274, 117.662353516, -47.8849868774,
0.009054, 2.73665904999, -16.9322662354, 102.74861908, -55.7003135681,
0.009097, 3.87447524071, -17.4131336212, 125.07598114, -52.8599967957,
0.009699, 5.15661001205, -18.0103321075, 132.192474365, -61.5732002258,
0.008359, 6.49974107742, -18.3397159576, 160.680831909, -39.4046936035,
0.00924, 7.93961143494, -18.6891613007, 155.83013916, -37.8187599182,
0.008847, 9.63881874084, -19.3249664307, 192.065933228, -71.8667449951,
0.008995, 11.2154989243, -19.7871780396, 175.284057617, -51.3853912354,
0.009049, 12.9739370346, -20.1375312805, 194.324020386, -38.7173423767,
0.009085, 14.8433856964, -20.4438533783, 205.773117065, -33.7173500061,
