dt,x,z,vx,vz
1666199519.0, -52.4314689636, -44.2033882141, -3.14676995572e-08, -2.65294683999e-08,
0.009036, -52.0504150391, -42.2237625122, 42.1706428528, 219.082092285,
0.008984, -51.4886512756, -40.2655143738, 62.5293579102, 217.970626831,
0.009143, -50.8691635132, -39.0536994934, 67.7554168701, 132.54019165,
0.009139, -49.6993408203, -37.119140625, 128.003356934, 211.681671143,
0.008949, -48.5935096741, -35.7694702148, 123.570350647, 150.818008423,
0.00891, -47.2069587708, -34.4543800354, 155.617385864, 147.597091675,
0.00911, -45.922542572, -33.6791267395, 140.989700317, 85.0991516113,
0.008915, -44.0804710388, -32.1098251343, 206.626098633, 176.02935791,
0.009089, -42.0896568298, -31.1156864166, 219.035568237, 109.378234863,
0.008994, -39.8832397461, -29.3342323303, 245.320999146, 198.071395874,
0.00978, -37.9073066711, -28.5316467285, 202.038146973, 82.0639648438,
0.008332, -36.2197914124, -28.2224178314, 202.534240723, 37.113407135,
0.009075, -33.8913002014, -27.8953437805, 256.583068848, 36.041217804,
0.008959, -32.1947059631, -26.9775543213, 189.373168945, 102.44329071,
0.009067, -29.8615112305, -26.9357566833, 257.328186035, 4.60986423492,
0.008975, -27.4695739746, -27.0115966797, 266.511108398, -8.45013904572,
0.009068, -25.2768669128, -27.0902919769, 241.807128906, -8.67835235596,
0.009105, -23.3092651367, -25.8148918152, 216.101242065, 140.076904297,
0.009062, -21.1179256439, -25.8171977997, 241.816329956, -0.254467517138,
0.008953, -18.8475646973, -26.0307731628, 253.586593628, -23.8551712036,
0.009038, -16.8629570007, -24.9687194824, 219.584823608, 117.509803772,
0.009003, -14.9041919708, -24.9592571259, 217.568023682, 1.0510225296,
0.009049, -13.1681957245, -24.586894989, 191.843978882, 41.1495323181,
0.009187, -11.6036710739, -24.5187454224, 170.297668457, 7.41804361343,
0.00894, -10.264216423, -23.9198532104, 149.827133179, 66.9901809692,
0.009094, -9.01363658905, -23.2564544678, 137.517028809, 72.9490585327,
0.009025, -7.94913864136, -22.8585262299, 117.949913025, 44.0917701721,
0.009125, -7.02048301697, -22.7397174835, 101.770477295, 13.0201368332,
0.008933, -6.1761803627, -22.8090686798, 94.5150146484, -7.76348304749,
0.009179, -5.43769168854, -22.8106956482, 80.4541549683, -0.177248984575,
0.008916, -4.76203489304, -22.7273292542, 75.7802581787, 9.35020160675,
0.009189, -4.17988824844, -22.559589386, 63.3525543213, 18.2544193268,
0.008866, -3.66721773148, -22.4149703979, 57.8243293762, 16.3116378784,
0.008978, -3.4813246727, -22.4986782074, 20.7053985596, -9.32365894318,
0.009073, -3.00979828835, -22.6792831421, 51.9702796936, -19.9057559967,
0.009079, -2.74124336243, -22.7376689911, 29.5797920227, -6.43086767197,
0.009105, -2.46995234489, -22.6667613983, 29.7958297729, 7.78776454926,
0.008969, -2.1098883152, -22.909778595, 40.1453933716, -27.0952396393,
0.009112, -1.8734459877, -23.0366916656, 25.9484539032, -13.9281234741,
0.009182, -1.46421766281, -23.2683525085, 44.5685424805, -25.2298908234,
0.008853, -1.14706349373, -23.8053340912, 35.8244857788, -60.6553268433,
0.00919, -1.04785740376, -24.4711837769, 10.7950048447, -72.4537200928,
0.008937, -1.47191536427, -24.0667133331, -47.4496955872, 45.2579650879,
0.009061, -2.20042443275, -29.6205406189, -80.4005126953, -612.937561035,
0.009142, -0.867594540119, -33.4004554749, 145.791946411, -413.466949463,
0.010192, -0.327971190214, -34.067565918, 52.9457778931, -65.4543228149,
0.007846, -0.539927065372, -34.3751831055, -27.0145149231, -39.2068824768,
0.008949, -0.942510783672, -34.4142417908, -44.9864463806, -4.3645863533,
