dt,x,z,vx,vz
1665160148.06, 57.084148407, -40.91248703, 3.42814772125e-08, -2.45697009404e-08,
0.009137, 57.0840644836, -40.903717041, -0.00918499939144, 0.959832429886,
0.00929, 57.0753555298, -40.8897094727, -0.937454640865, 1.50781142712,
0.009259, 57.0619087219, -40.8937797546, -1.45229589939, -0.439602732658,
0.009169, 57.0317115784, -40.9062957764, -3.29339551926, -1.365036726,
0.009204, 57.0103225708, -40.8988990784, -2.32388162613, 0.803639471531,
0.009364, 56.9511604309, -40.9221038818, -6.31804180145, -2.47808670998,
0.009117, 56.9023361206, -40.9386405945, -5.35530471802, -1.81383275986,
0.010608, 56.8538970947, -40.9475326538, -4.56627321243, -0.838240921497,
0.007885, 56.8216171265, -40.9538917542, -4.09384536743, -0.806480705738,
0.009253, 56.7697067261, -40.9803085327, -5.61011552811, -2.85494208336,
0.009159, 56.7028617859, -41.0129013062, -7.29827976227, -3.55855154991,
0.009279, 56.6532325745, -41.0407791138, -5.34855175018, -3.00439786911,
0.009183, 56.6082611084, -41.0680618286, -4.89725208282, -2.97100234032,
0.009224, 56.6042671204, -41.0774078369, -0.432999551296, -1.01322722435,
0.009324, 56.5509605408, -41.1022148132, -5.71713638306, -2.66055083275,
0.009249, 56.483379364, -41.13646698, -7.30686330795, -3.70333743095,
0.009232, 56.41431427, -41.1868629456, -7.48105382919, -5.45883464813,
0.009126, 56.327796936, -41.2744483948, -9.48031234741, -9.59735393524,
0.009297, 56.2462921143, -41.3781776428, -8.76678752899, -11.1572818756,
0.010526, 56.1826400757, -41.4656677246, -6.04712533951, -8.31180763245,
0.008097, 56.1277809143, -41.5347595215, -6.77524518967, -8.53301143646,
0.009568, 56.0745391846, -41.5933609009, -5.56456184387, -6.12472581863,
0.008838, 55.9983634949, -41.7520484924, -8.61911010742, -17.9551467896,
0.009348, 55.9242324829, -41.8462562561, -7.93014621735, -10.0778522491,
0.009155, 55.8699378967, -41.9192314148, -5.93059396744, -7.97107172012,
0.009211, 55.8137893677, -41.9980278015, -6.09581232071, -8.55459594727,
0.011133, 55.8047981262, -42.0528030396, -0.807620704174, -4.92007875443,
0.00728, 55.8073196411, -42.0825881958, 0.346361935139, -4.09136772156,
0.009297, 55.8100585938, -42.1308822632, 0.29460605979, -5.19458580017,
0.009103, 55.7888183594, -42.1610336304, -2.33332252502, -3.31224513054,
0.009318, 55.7922286987, -42.144744873, 0.365994781256, 1.74809587002,
0.009101, 55.7861099243, -42.0748252869, -0.672318935394, 7.68262720108,
0.009288, 55.7928466797, -42.0021972656, 0.725318193436, 7.81955432892,
0.009231, 55.7850799561, -41.9451446533, -0.841373980045, 6.18054485321,
0.009238, 55.795627594, -41.8629455566, 1.14176642895, 8.89793205261,
0.00913, 55.8242492676, -41.7269325256, 3.13490390778, 14.8973741531,
0.027712, 56.3433914185, -41.1497154236, 18.7334785461, 20.8291378021,
0.009265, 56.4431495667, -41.037071228, 10.7672042847, 12.1580352783,
0.009492, 56.5884819031, -40.8062133789, 15.3110351562, 24.321308136,
0.008966, 56.7301979065, -40.5004577637, 15.8059339523, 34.1016769409,
0.009279, 56.8375320435, -40.1875228882, 11.5674257278, 33.7250671387,
0.009158, 56.9046325684, -39.9434242249, 7.32698440552, 26.6541442871,
0.00918, 56.8898353577, -39.6432304382, -1.6118966341, 32.7008476257,
0.009212, 56.9641265869, -39.3792991638, 8.06461429596, 28.6508102417,
0.009248, 57.027141571, -39.1434860229, 6.81390428543, 25.4988269806,
